Id,Widespread mask usage (over 75%),Confirmed case isolation,Contact isolation,Gatherings limited to,Some businesses suspended,Many businesses suspended,Schools and universities closed,Social distancing advised,Staying home advised,Test number (order of magnitude),General curfew,Country,Date
47,0,0,0,0,0,0,0,0,0,0,0,Latvia,2019-12-18
48,0,0,0,0,0,0,0,0,0,0,0,Lithuania,2019-12-18
49,0,0,0,0,0,0,0,0,0,0,0,Greece,2019-12-18
50,0,0,0,0,0,0,0,0,0,0,0,Moldova,2019-12-18
51,0,0,0,0,0,0,0,0,0,0,0,Malta,2019-12-18
52,0,0,0,0,0,0,0,0,0,0,0,Monaco,2019-12-18
53,0,0,0,0,0,0,0,0,0,0,0,Netherlands,2019-12-18
54,0,0,0,0,0,0,0,0,0,0,0,Iceland,2019-12-18
55,0,0,0,0,0,0,0,0,0,0,0,Guernsey,2019-12-18
56,0,0,0,0,0,0,0,0,0,0,0,Macedonia,2019-12-18
57,0,0,0,0,0,0,0,0,0,0,0,Ireland,2019-12-18
58,0,0,0,0,0,0,0,0,0,0,0,Vatican City,2019-12-18
59,0,0,0,0,0,0,0,0,0,0,0,Jersey,2019-12-18
60,0,0,0,0,0,0,0,0,0,0,0,Kosovo,2019-12-18
61,0,0,0,0,0,0,0,0,0,0,0,Kazakhstan,2019-12-18
62,0,0,0,0,0,0,0,0,0,0,0,Poland,2019-12-18
63,0,0,0,0,0,0,0,0,0,0,0,Turkey,2019-12-18
64,0,0,0,0,0,0,0,0,0,0,0,US: Florida,2019-12-18
65,0,0,0,0,0,0,0,0,0,0,0,Ukraine,2019-12-18
66,0,0,0,0,0,0,0,0,0,0,0,Slovakia,2019-12-18
67,0,0,0,0,0,0,0,0,0,0,0,Serbia,2019-12-18
68,0,0,0,0,0,0,0,0,0,0,0,Switzerland,2019-12-18
69,0,0,0,0,0,0,0,0,0,0,0,Norway,2019-12-18
70,0,0,0,0,0,0,0,0,0,0,0,Montenegro,2019-12-18
71,0,0,0,0,0,0,0,0,0,0,0,Iran,2019-12-18
72,0,0,0,0,0,0,0,0,0,0,0,Liechtenstein,2019-12-18
73,0,0,0,0,0,0,0,0,0,0,0,Russia,2019-12-18
74,0,0,0,0,0,0,0,0,0,0,0,US:N Carolina,2019-12-18
75,0,0,0,0,0,0,0,0,0,0,0,US: Arizona,2019-12-18
76,0,0,0,0,0,0,0,0,0,0,0,US: Oregon,2019-12-18
77,0,0,0,0,0,0,0,0,0,0,0,US:California,2019-12-18
78,0,0,0,0,0,0,0,0,0,0,0,US: Nevada,2019-12-18
79,0,0,0,0,0,0,0,0,0,0,0,US:Idaho,2019-12-18
80,0,0,0,0,0,0,0,0,0,0,0,US:Utah,2019-12-18
81,0,0,0,0,0,0,0,0,0,0,0,US:Washington,2019-12-18
82,0,0,0,0,0,0,0,0,0,0,0,US: S Carolina,2019-12-18
83,0,0,0,0,0,0,0,0,0,0,0,Mexico,2019-12-18
84,0,0,0,0,0,0,0,0,0,0,0,Egypt,2019-12-18
85,0,0,0,0,0,0,0,0,0,0,0,Palestine,2019-12-18
86,0,0,0,0,0,0,0,0,0,0,0,Malaysia,2019-12-18
87,0,0,0,0,0,0,0,0,0,0,0,US:Georgia,2019-12-18
88,0,0,0,0,0,0,0,0,0,0,0,US:Maryland,2019-12-18
89,0,0,0,0,0,0,0,0,0,0,0,US: Indiana,2019-12-18
90,0,0,0,0,0,0,0,0,0,0,0,US:Delaware,2019-12-18
91,0,0,0,0,0,0,0,0,0,0,0,US: Illinois,2019-12-18
92,0,0,0,0,0,0,0,0,0,0,0,US: Wisconsin,2019-12-18
93,0,0,0,0,0,0,0,0,0,0,0,US: Virginia,2019-12-18
94,0,0,0,0,0,0,0,0,0,0,0,US: Michigan,2019-12-18
95,0,0,0,0,0,0,0,0,0,0,0,Nepal,2019-12-18
96,0,0,0,0,0,0,0,0,0,0,0,Afghanistan,2019-12-18
97,0,0,0,0,0,0,0,0,0,0,0,Iraq,2019-12-18
98,0,0,0,0,0,0,0,0,0,0,0,Faroe Islands,2019-12-18
99,0,0,0,0,0,0,0,0,0,0,0,Philippines,2019-12-18
100,0,0,0,0,0,0,0,0,0,0,0,Kuwait,2019-12-18
101,0,0,0,0,0,0,0,0,0,0,0,South Africa,2019-12-18
102,0,0,0,0,0,0,0,0,0,0,0,Armenia,2019-12-18
103,0,0,0,0,0,0,0,0,0,0,0,Pakistan,2019-12-18
104,0,0,0,0,0,0,0,0,0,0,0,Brazil,2019-12-18
105,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,2019-12-18
106,0,0,0,0,0,0,0,0,0,0,0,Panama,2019-12-18
107,0,0,0,0,0,0,0,0,0,0,0,India,2019-12-18
108,0,0,0,0,0,0,0,0,0,0,0,Bahrain,2019-12-18
109,0,0,0,0,0,0,0,0,0,0,0,United Arab Emirates,2019-12-18
110,0,0,0,0,0,0,0,0,0,0,0,Kyrgyzstan,2019-12-18
111,0,0,0,0,0,0,0,0,0,0,0,Indonesia,2019-12-18
112,0,0,0,0,0,0,0,0,0,0,0,Namibia,2019-12-18
113,0,0,0,0,0,0,0,0,0,0,0,Uganda,2019-12-18
114,0,0,0,0,0,0,0,0,0,0,0,US:Alabama,2019-12-18
115,0,0,0,0,0,0,0,0,0,0,0,US:Alaska,2019-12-18
116,0,0,0,0,0,0,0,0,0,0,0,Austria,2019-12-19
117,0,0,0,0,0,0,0,0,0,0,0,Germany,2019-12-19
118,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,2019-12-19
119,0,0,0,0,0,0,0,0,0,0,0,Vietnam,2019-12-19
120,0,0,0,0,0,0,0,0,0,0,0,South Korea,2019-12-19
121,0,0,0,0,0,0,0,0,0,0,0,Singapore,2019-12-19
122,0,0,0,0,0,0,0,0,0,0,0,Israel,2019-12-19
123,0,0,0,0,0,0,0,0,0,0,0,Japan,2019-12-19
124,0,0,0,0,0,0,0,0,0,0,0,Sweden,2019-12-19
125,0,0,0,0,0,0,0,0,0,0,0,San Marino,2019-12-19
126,0,0,0,0,0,0,0,0,0,0,0,Slovenia,2019-12-19
127,0,0,0,0,0,0,0,0,0,0,0,US:New Jersey,2019-12-19
128,0,0,0,0,0,0,0,0,0,0,0,Canada,2019-12-19
129,0,0,0,0,0,0,0,0,0,0,0,Taiwan,2019-12-19
130,0,0,0,0,0,0,0,0,0,0,0,Macau,2019-12-19
131,0,0,0,0,0,0,0,0,0,0,0,Hong Kong,2019-12-19
132,0,1,0,0,0,0,0,0,0,0,0,China,2019-12-19
133,0,0,0,0,0,0,0,0,0,0,0,United States,2019-12-19
134,0,0,0,0,0,0,0,0,0,0,0,European Union,2019-12-19
135,0,0,0,0,0,0,0,0,0,0,0,Thailand,2019-12-19
136,0,0,0,0,0,0,0,0,0,0,0,Italy,2019-12-19
137,0,0,0,0,0,0,0,0,0,0,0,Czechia,2019-12-19
138,0,0,0,0,0,0,0,0,0,0,0,Australia,2019-12-19
139,0,0,0,0,0,0,0,0,0,0,0,Trinidad and Tobago,2019-12-19
140,0,0,0,0,0,0,0,0,0,0,0,Qatar,2019-12-19
141,0,0,0,0,0,0,0,0,0,0,0,North Korea,2019-12-19
142,0,0,0,0,0,0,0,0,0,0,0,New Zealand,2019-12-19
143,0,0,0,0,0,0,0,0,0,0,0,Colombia,2019-12-19
144,0,0,0,0,0,0,0,0,0,0,0,Romania,2019-12-19
145,0,0,0,0,0,0,0,0,0,0,0,France,2019-12-19
146,0,0,0,0,0,0,0,0,0,0,0,Portugal,2019-12-19
147,0,0,0,0,0,0,0,0,0,0,0,Spain,2019-12-19
148,0,0,0,0,0,0,0,0,0,0,0,Belgium,2019-12-19
149,0,0,0,0,0,0,0,0,0,0,0,Luxembourg,2019-12-19
150,0,0,0,0,0,0,0,0,0,0,0,Albania,2019-12-19
151,0,0,0,0,0,0,0,0,0,0,0,Andorra,2019-12-19
152,0,0,0,0,0,0,0,0,0,0,0,Azerbaijan,2019-12-19
153,0,0,0,0,0,0,0,0,0,0,0,Belarus,2019-12-19
154,0,0,0,0,0,0,0,0,0,0,0,Bosnia and Herzegovina,2019-12-19
155,0,0,0,0,0,0,0,0,0,0,0,Bulgaria,2019-12-19
156,0,0,0,0,0,0,0,0,0,0,0,Denmark,2019-12-19
157,0,0,0,0,0,0,0,0,0,0,0,Estonia,2019-12-19
158,0,0,0,0,0,0,0,0,0,0,0,Cyprus,2019-12-19
159,0,0,0,0,0,0,0,0,0,0,0,Croatia,2019-12-19
160,0,0,0,0,0,0,0,0,0,0,0,Finland,2019-12-19
161,0,0,0,0,0,0,0,0,0,0,0,Georgia,2019-12-19
162,0,0,0,0,0,0,0,0,0,0,0,Hungary,2019-12-19
163,0,0,0,0,0,0,0,0,0,0,0,Latvia,2019-12-19
164,0,0,0,0,0,0,0,0,0,0,0,Lithuania,2019-12-19
165,0,0,0,0,0,0,0,0,0,0,0,Greece,2019-12-19
166,0,0,0,0,0,0,0,0,0,0,0,Moldova,2019-12-19
167,0,0,0,0,0,0,0,0,0,0,0,Malta,2019-12-19
168,0,0,0,0,0,0,0,0,0,0,0,Monaco,2019-12-19
169,0,0,0,0,0,0,0,0,0,0,0,Netherlands,2019-12-19
170,0,0,0,0,0,0,0,0,0,0,0,Iceland,2019-12-19
171,0,0,0,0,0,0,0,0,0,0,0,Guernsey,2019-12-19
172,0,0,0,0,0,0,0,0,0,0,0,Macedonia,2019-12-19
173,0,0,0,0,0,0,0,0,0,0,0,Ireland,2019-12-19
174,0,0,0,0,0,0,0,0,0,0,0,Vatican City,2019-12-19
175,0,0,0,0,0,0,0,0,0,0,0,Jersey,2019-12-19
176,0,0,0,0,0,0,0,0,0,0,0,Kosovo,2019-12-19
177,0,0,0,0,0,0,0,0,0,0,0,Kazakhstan,2019-12-19
178,0,0,0,0,0,0,0,0,0,0,0,Poland,2019-12-19
179,0,0,0,0,0,0,0,0,0,0,0,Turkey,2019-12-19
180,0,0,0,0,0,0,0,0,0,0,0,US: Florida,2019-12-19
181,0,0,0,0,0,0,0,0,0,0,0,Ukraine,2019-12-19
182,0,0,0,0,0,0,0,0,0,0,0,Slovakia,2019-12-19
183,0,0,0,0,0,0,0,0,0,0,0,Serbia,2019-12-19
184,0,0,0,0,0,0,0,0,0,0,0,Switzerland,2019-12-19
185,0,0,0,0,0,0,0,0,0,0,0,Norway,2019-12-19
186,0,0,0,0,0,0,0,0,0,0,0,Montenegro,2019-12-19
187,0,0,0,0,0,0,0,0,0,0,0,Iran,2019-12-19
188,0,0,0,0,0,0,0,0,0,0,0,Liechtenstein,2019-12-19
189,0,0,0,0,0,0,0,0,0,0,0,Russia,2019-12-19
190,0,0,0,0,0,0,0,0,0,0,0,US:N Carolina,2019-12-19
191,0,0,0,0,0,0,0,0,0,0,0,US: Arizona,2019-12-19
192,0,0,0,0,0,0,0,0,0,0,0,US: Oregon,2019-12-19
193,0,0,0,0,0,0,0,0,0,0,0,US:California,2019-12-19
194,0,0,0,0,0,0,0,0,0,0,0,US: Nevada,2019-12-19
195,0,0,0,0,0,0,0,0,0,0,0,US:Idaho,2019-12-19
196,0,0,0,0,0,0,0,0,0,0,0,US:Utah,2019-12-19
197,0,0,0,0,0,0,0,0,0,0,0,US:Washington,2019-12-19
198,0,0,0,0,0,0,0,0,0,0,0,US: S Carolina,2019-12-19
199,0,0,0,0,0,0,0,0,0,0,0,Mexico,2019-12-19
200,0,0,0,0,0,0,0,0,0,0,0,Egypt,2019-12-19
201,0,0,0,0,0,0,0,0,0,0,0,Palestine,2019-12-19
202,0,0,0,0,0,0,0,0,0,0,0,Malaysia,2019-12-19
203,0,0,0,0,0,0,0,0,0,0,0,US:Georgia,2019-12-19
204,0,0,0,0,0,0,0,0,0,0,0,US:Maryland,2019-12-19
205,0,0,0,0,0,0,0,0,0,0,0,US: Indiana,2019-12-19
206,0,0,0,0,0,0,0,0,0,0,0,US:Delaware,2019-12-19
207,0,0,0,0,0,0,0,0,0,0,0,US: Illinois,2019-12-19
208,0,0,0,0,0,0,0,0,0,0,0,US: Wisconsin,2019-12-19
209,0,0,0,0,0,0,0,0,0,0,0,US: Virginia,2019-12-19
210,0,0,0,0,0,0,0,0,0,0,0,US: Michigan,2019-12-19
211,0,0,0,0,0,0,0,0,0,0,0,Nepal,2019-12-19
212,0,0,0,0,0,0,0,0,0,0,0,Afghanistan,2019-12-19
213,0,0,0,0,0,0,0,0,0,0,0,Iraq,2019-12-19
214,0,0,0,0,0,0,0,0,0,0,0,Faroe Islands,2019-12-19
215,0,0,0,0,0,0,0,0,0,0,0,Philippines,2019-12-19
216,0,0,0,0,0,0,0,0,0,0,0,Kuwait,2019-12-19
217,0,0,0,0,0,0,0,0,0,0,0,South Africa,2019-12-19
218,0,0,0,0,0,0,0,0,0,0,0,Armenia,2019-12-19
219,0,0,0,0,0,0,0,0,0,0,0,Pakistan,2019-12-19
220,0,0,0,0,0,0,0,0,0,0,0,Brazil,2019-12-19
221,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,2019-12-19
222,0,0,0,0,0,0,0,0,0,0,0,Panama,2019-12-19
223,0,0,0,0,0,0,0,0,0,0,0,India,2019-12-19
224,0,0,0,0,0,0,0,0,0,0,0,Bahrain,2019-12-19
225,0,0,0,0,0,0,0,0,0,0,0,United Arab Emirates,2019-12-19
226,0,0,0,0,0,0,0,0,0,0,0,Kyrgyzstan,2019-12-19
227,0,0,0,0,0,0,0,0,0,0,0,Indonesia,2019-12-19
228,0,0,0,0,0,0,0,0,0,0,0,Namibia,2019-12-19
229,0,0,0,0,0,0,0,0,0,0,0,Uganda,2019-12-19
230,0,0,0,0,0,0,0,0,0,0,0,US:Alabama,2019-12-19
231,0,0,0,0,0,0,0,0,0,0,0,US:Alaska,2019-12-19
232,0,0,0,0,0,0,0,0,0,0,0,Austria,2019-12-20
233,0,0,0,0,0,0,0,0,0,0,0,Germany,2019-12-20
234,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,2019-12-20
235,0,0,0,0,0,0,0,0,0,0,0,Vietnam,2019-12-20
236,0,0,0,0,0,0,0,0,0,0,0,South Korea,2019-12-20
237,0,0,0,0,0,0,0,0,0,0,0,Singapore,2019-12-20
238,0,0,0,0,0,0,0,0,0,0,0,Israel,2019-12-20
239,0,0,0,0,0,0,0,0,0,0,0,Japan,2019-12-20
240,0,0,0,0,0,0,0,0,0,0,0,Sweden,2019-12-20
241,0,0,0,0,0,0,0,0,0,0,0,San Marino,2019-12-20
242,0,0,0,0,0,0,0,0,0,0,0,Slovenia,2019-12-20
243,0,0,0,0,0,0,0,0,0,0,0,US:New Jersey,2019-12-20
244,0,0,0,0,0,0,0,0,0,0,0,Canada,2019-12-20
245,0,0,0,0,0,0,0,0,0,0,0,Taiwan,2019-12-20
246,0,0,0,0,0,0,0,0,0,0,0,Macau,2019-12-20
247,0,0,0,0,0,0,0,0,0,0,0,Hong Kong,2019-12-20
248,0,1,0,0,0,0,0,0,0,0,0,China,2019-12-20
249,0,0,0,0,0,0,0,0,0,0,0,United States,2019-12-20
250,0,0,0,0,0,0,0,0,0,0,0,European Union,2019-12-20
251,0,0,0,0,0,0,0,0,0,0,0,Thailand,2019-12-20
252,0,0,0,0,0,0,0,0,0,0,0,Italy,2019-12-20
253,0,0,0,0,0,0,0,0,0,0,0,Czechia,2019-12-20
254,0,0,0,0,0,0,0,0,0,0,0,Australia,2019-12-20
255,0,0,0,0,0,0,0,0,0,0,0,Trinidad and Tobago,2019-12-20
256,0,0,0,0,0,0,0,0,0,0,0,Qatar,2019-12-20
257,0,0,0,0,0,0,0,0,0,0,0,North Korea,2019-12-20
258,0,0,0,0,0,0,0,0,0,0,0,New Zealand,2019-12-20
259,0,0,0,0,0,0,0,0,0,0,0,Colombia,2019-12-20
260,0,0,0,0,0,0,0,0,0,0,0,Romania,2019-12-20
261,0,0,0,0,0,0,0,0,0,0,0,France,2019-12-20
262,0,0,0,0,0,0,0,0,0,0,0,Portugal,2019-12-20
263,0,0,0,0,0,0,0,0,0,0,0,Spain,2019-12-20
264,0,0,0,0,0,0,0,0,0,0,0,Belgium,2019-12-20
265,0,0,0,0,0,0,0,0,0,0,0,Luxembourg,2019-12-20
266,0,0,0,0,0,0,0,0,0,0,0,Albania,2019-12-20
267,0,0,0,0,0,0,0,0,0,0,0,Andorra,2019-12-20
268,0,0,0,0,0,0,0,0,0,0,0,Azerbaijan,2019-12-20
269,0,0,0,0,0,0,0,0,0,0,0,Belarus,2019-12-20
270,0,0,0,0,0,0,0,0,0,0,0,Bosnia and Herzegovina,2019-12-20
271,0,0,0,0,0,0,0,0,0,0,0,Bulgaria,2019-12-20
272,0,0,0,0,0,0,0,0,0,0,0,Denmark,2019-12-20
273,0,0,0,0,0,0,0,0,0,0,0,Estonia,2019-12-20
274,0,0,0,0,0,0,0,0,0,0,0,Cyprus,2019-12-20
275,0,0,0,0,0,0,0,0,0,0,0,Croatia,2019-12-20
276,0,0,0,0,0,0,0,0,0,0,0,Finland,2019-12-20
277,0,0,0,0,0,0,0,0,0,0,0,Georgia,2019-12-20
278,0,0,0,0,0,0,0,0,0,0,0,Hungary,2019-12-20
279,0,0,0,0,0,0,0,0,0,0,0,Latvia,2019-12-20
280,0,0,0,0,0,0,0,0,0,0,0,Lithuania,2019-12-20
281,0,0,0,0,0,0,0,0,0,0,0,Greece,2019-12-20
282,0,0,0,0,0,0,0,0,0,0,0,Moldova,2019-12-20
283,0,0,0,0,0,0,0,0,0,0,0,Malta,2019-12-20
284,0,0,0,0,0,0,0,0,0,0,0,Monaco,2019-12-20
285,0,0,0,0,0,0,0,0,0,0,0,Netherlands,2019-12-20
286,0,0,0,0,0,0,0,0,0,0,0,Iceland,2019-12-20
287,0,0,0,0,0,0,0,0,0,0,0,Guernsey,2019-12-20
288,0,0,0,0,0,0,0,0,0,0,0,Macedonia,2019-12-20
289,0,0,0,0,0,0,0,0,0,0,0,Ireland,2019-12-20
290,0,0,0,0,0,0,0,0,0,0,0,Vatican City,2019-12-20
291,0,0,0,0,0,0,0,0,0,0,0,Jersey,2019-12-20
292,0,0,0,0,0,0,0,0,0,0,0,Kosovo,2019-12-20
293,0,0,0,0,0,0,0,0,0,0,0,Kazakhstan,2019-12-20
294,0,0,0,0,0,0,0,0,0,0,0,Poland,2019-12-20
295,0,0,0,0,0,0,0,0,0,0,0,Turkey,2019-12-20
296,0,0,0,0,0,0,0,0,0,0,0,US: Florida,2019-12-20
297,0,0,0,0,0,0,0,0,0,0,0,Ukraine,2019-12-20
298,0,0,0,0,0,0,0,0,0,0,0,Slovakia,2019-12-20
299,0,0,0,0,0,0,0,0,0,0,0,Serbia,2019-12-20
300,0,0,0,0,0,0,0,0,0,0,0,Switzerland,2019-12-20
301,0,0,0,0,0,0,0,0,0,0,0,Norway,2019-12-20
302,0,0,0,0,0,0,0,0,0,0,0,Montenegro,2019-12-20
303,0,0,0,0,0,0,0,0,0,0,0,Iran,2019-12-20
304,0,0,0,0,0,0,0,0,0,0,0,Liechtenstein,2019-12-20
305,0,0,0,0,0,0,0,0,0,0,0,Russia,2019-12-20
306,0,0,0,0,0,0,0,0,0,0,0,US:N Carolina,2019-12-20
307,0,0,0,0,0,0,0,0,0,0,0,US: Arizona,2019-12-20
308,0,0,0,0,0,0,0,0,0,0,0,US: Oregon,2019-12-20
309,0,0,0,0,0,0,0,0,0,0,0,US:California,2019-12-20
310,0,0,0,0,0,0,0,0,0,0,0,US: Nevada,2019-12-20
311,0,0,0,0,0,0,0,0,0,0,0,US:Idaho,2019-12-20
312,0,0,0,0,0,0,0,0,0,0,0,US:Utah,2019-12-20
313,0,0,0,0,0,0,0,0,0,0,0,US:Washington,2019-12-20
314,0,0,0,0,0,0,0,0,0,0,0,US: S Carolina,2019-12-20
315,0,0,0,0,0,0,0,0,0,0,0,Mexico,2019-12-20
316,0,0,0,0,0,0,0,0,0,0,0,Egypt,2019-12-20
317,0,0,0,0,0,0,0,0,0,0,0,Palestine,2019-12-20
318,0,0,0,0,0,0,0,0,0,0,0,Malaysia,2019-12-20
319,0,0,0,0,0,0,0,0,0,0,0,US:Georgia,2019-12-20
320,0,0,0,0,0,0,0,0,0,0,0,US:Maryland,2019-12-20
321,0,0,0,0,0,0,0,0,0,0,0,US: Indiana,2019-12-20
322,0,0,0,0,0,0,0,0,0,0,0,US:Delaware,2019-12-20
323,0,0,0,0,0,0,0,0,0,0,0,US: Illinois,2019-12-20
324,0,0,0,0,0,0,0,0,0,0,0,US: Wisconsin,2019-12-20
325,0,0,0,0,0,0,0,0,0,0,0,US: Virginia,2019-12-20
326,0,0,0,0,0,0,0,0,0,0,0,US: Michigan,2019-12-20
327,0,0,0,0,0,0,0,0,0,0,0,Nepal,2019-12-20
328,0,0,0,0,0,0,0,0,0,0,0,Afghanistan,2019-12-20
329,0,0,0,0,0,0,0,0,0,0,0,Iraq,2019-12-20
330,0,0,0,0,0,0,0,0,0,0,0,Faroe Islands,2019-12-20
331,0,0,0,0,0,0,0,0,0,0,0,Philippines,2019-12-20
332,0,0,0,0,0,0,0,0,0,0,0,Kuwait,2019-12-20
333,0,0,0,0,0,0,0,0,0,0,0,South Africa,2019-12-20
334,0,0,0,0,0,0,0,0,0,0,0,Armenia,2019-12-20
335,0,0,0,0,0,0,0,0,0,0,0,Pakistan,2019-12-20
336,0,0,0,0,0,0,0,0,0,0,0,Brazil,2019-12-20
337,0,0,0,0,0,0,0,0,0,0,0,Costa Rica,2019-12-20
338,0,0,0,0,0,0,0,0,0,0,0,Panama,2019-12-20
339,0,0,0,0,0,0,0,0,0,0,0,India,2019-12-20
340,0,0,0,0,0,0,0,0,0,0,0,Bahrain,2019-12-20
341,0,0,0,0,0,0,0,0,0,0,0,United Arab Emirates,2019-12-20
342,0,0,0,0,0,0,0,0,0,0,0,Kyrgyzstan,2019-12-20
343,0,0,0,0,0,0,0,0,0,0,0,Indonesia,2019-12-20
344,0,0,0,0,0,0,0,0,0,0,0,Namibia,2019-12-20
345,0,0,0,0,0,0,0,0,0,0,0,Uganda,2019-12-20
346,0,0,0,0,0,0,0,0,0,0,0,US:Alabama,2019-12-20
347,0,0,0,0,0,0,0,0,0,0,0,US:Alaska,2019-12-20
348,0,0,0,0,0,0,0,0,0,0,0,Austria,2019-12-21
349,0,0,0,0,0,0,0,0,0,0,0,Germany,2019-12-21
350,0,0,0,0,0,0,0,0,0,0,0,United Kingdom,2019-12-21
351,0,0,0,0,0,0,0,0,0,0,0,Vietnam,2019-12-21
352,0,0,0,0,0,0,0,0,0,0,0,South Korea,2019-12-21
353,0,0,0,0,0,0,0,0,0,0,0,Singapore,2019-12-21
354,0,0,0,0,0,0,0,0,0,0,0,Israel,2019-12-21
355,0,0,0,0,0,0,0,0,0,0,0,Japan,2019-12-21
356,0,0,0,0,0,0,0,0,0,0,0,Sweden,2019-12-21
357,0,0,0,0,0,0,0,0,0,0,0,San Marino,2019-12-21
358,0,0,0,0,0,0,0,0,0,0,0,Slovenia,2019-12-21
359,0,0,0,0,0,0,0,0,0,0,0,US:New Jersey,2019-12-21
360,0,0,0,0,0,0,0,0,0,0,0,Canada,2019-12-21
361,0,0,0,0,0,0,0,0,0,0,0,Taiwan,2019-12-21
362,0,0,0,0,0,0,0,0,0,0,0,Macau,2019-12-21
363,0,0,0,0,0,0,0,0,0,0,0,Hong Kong,2019-12-21
364,0,1,0,0,0,0,0,0,0,0,0,China,2019-12-21
365,0,0,0,0,0,0,0,0,0,0,0,United States,2019-12-21
366,0,0,0,0,0,0,0,0,0,0,0,European Union,2019-12-21
367,0,0,0,0,0,0,0,0,0,0,0,Thailand,2019-12-21
368,0,0,0,0,0,0,0,0,0,0,0,Italy,2019-12-21
369,0,0,0,0,0,0,0,0,0,0,0,Czechia,2019-12-21
370,0,0,0,0,0,0,0,0,0,0,0,Australia,2019-12-21
371,0,0,0,0,0,0,0,0,0,0,0,Trinidad and Tobago,2019-12-21
372,0,0,0,0,0,0,0,0,0,0,0,Qatar,2019-12-21
373,0,0,0,0,0,0,0,0,0,0,0,North Korea,2019-12-21
374,0,0,0,0,0,0,0,0,0,0,0,New Zealand,2019-12-21
375,0,0,0,0,0,0,0,0,0,0,0,Colombia,2019-12-21
